id,category_id,name,slug,description,specs,price,original_price,stock,is_featured,is_flash_deal,flash_deal_ends_at,images,variants,rating_avg,reviews_count,created_at,updated_at,badge
0062e64f-da89-42a9-9b18-74697ecd0d60,a2222222-2222-4222-8222-222222222222,Smart Car Charger 45W Dual USB-C,smart-car-charger-45w-dual-usbc-52604,شاحن سيارة سريع جداً بقوة 45 واط مع منفذين USB-C لتغذية الأجهزة.,{},380.00,494.00,32,true,false,,"[""https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7?auto=format&fit=crop&w=600&q=80""]",[],4.90,0,2026-08-17 20:22:55.673255+00,2026-08-17 20:22:55.673255+00,NEW
039f79cd-363a-4173-aa40-985a24eca3d2,a1111111-1111-4111-8111-111111111111,Electronics Pro Smart Device #3,electronics-pro-smart-device-3-266,منتج فائق الجودة والأداء ومصمم خصيصاً لتلبية احتياجاتك مع ضمان واستبدال مباشر.,{},760.00,3920.00,48,true,false,,"[""https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=600&q=80""]",[],4.90,0,2026-08-17 20:24:56.466376+00,2026-08-17 20:24:56.466376+00,TRENDING
054db08e-7390-4208-bb00-882716b388c5,a3333333-3333-4333-8333-333333333333,Lip Sleeping Mask Berry Extract,lip-sleeping-mask-berry-extract-1352,ماسك شفايف ليلي بخلاصة التوت الأحمر لترطيب وتوريد الشفايف.,{},190.00,237.50,16,false,false,,"[""https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80""]",[],4.80,0,2026-08-17 20:21:25.239987+00,2026-08-17 20:21:25.239987+00,BESTSELLER
05d21596-65f9-40e0-9343-10e96b10bacc,a3333333-3333-4333-8333-333333333333,Women Care Glow Body Mist & Care #14,women-care-glow-body-mist-&-care-14-375,منتج فائق الجودة والأداء ومصمم خصيصاً لتلبية احتياجاتك مع ضمان واستبدال مباشر.,{},1440.00,3880.00,49,false,false,,"[""https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?auto=format&fit=crop&w=600&q=80""]",[],4.80,0,2026-08-17 20:24:56.466376+00,2026-08-17 20:24:56.466376+00,PREMIUM
0740a0b9-8b63-4315-a86b-70403d5c4df8,a2222222-2222-4222-8222-222222222222,Accessories Ultra Tech Gadget #7,accessories-ultra-tech-gadget-7-333,منتج فائق الجودة والأداء ومصمم خصيصاً لتلبية احتياجاتك مع ضمان واستبدال مباشر.,{},660.00,2020.00,31,false,false,,"[""https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=600&q=80""]",[],4.50,0,2026-08-17 20:24:56.466376+00,2026-08-17 20:24:56.466376+00,BESTSELLER
0788c87a-c878-4914-b78a-516c3c104609,a4444444-4444-4444-8444-444444444444,Energizing Face Scrub Coffee Extract,energizing-face-scrub-coffee-extract-696,سكرب مقشر للوجه بخلاصة القهوة وزيت الأرغان لإزالة الجلد الميت.,{},260.00,325.00,11,true,true,,"[""https://images.unsplash.com/photo-1556228720-195a672e8a03?auto=format&fit=crop&w=600&q=80""]",[],4.50,0,2026-08-17 20:21:25.239987+00,2026-08-17 20:21:25.239987+00,NEW
08467f44-f326-4deb-a17f-796b109d7f0e,a4444444-4444-4444-8444-444444444444,Wild Cedar Body Splash 250ml,wild-cedar-body-splash-250ml-3293,بودي سبلاش رجالي قوي برائحة خشب الأرز واللافندر المنعش.,{},310.00,387.50,54,true,false,,"[""https://images.unsplash.com/photo-1527799820374-dcf8d9d4a388?auto=format&fit=crop&w=600&q=80""]",[],4.60,0,2026-08-17 20:21:25.239987+00,2026-08-17 20:21:25.239987+00,TRENDING
09cd2ae8-2d7b-4157-bc67-6400d89a9128,a1111111-1111-4111-8111-111111111111,4K WebCam Pro Streaming 60FPS,4k-webcam-pro-streaming-4694,كاميرا ويب احترافية 4K مع ميكروفون مزدوج مانع للضوضاء ومثالية للبث المباشر.,{},2100.00,2625.00,29,false,false,,"[""https://images.unsplash.com/photo-1587826080692-f439cd0b70da?auto=format&fit=crop&w=600&q=80""]",[],4.60,0,2026-08-17 20:21:25.239987+00,2026-08-17 20:21:25.239987+00,PREMIUM
0aa8b16d-8c33-435a-bcd2-e279ec2e2f81,a2222222-2222-4222-8222-222222222222,Braided USB-C to Lightning Cable 2M,braided-usbc-lightning-cable-2m-2461,كابل شحن سريع قماش مضاد للقطع بطول 2 متر ومعتمد من Apple.,{},240.00,300.00,21,true,false,,"[""https://images.unsplash.com/photo-1544816155-12df9643f363?auto=format&fit=crop&w=600&q=80""]",[],4.90,0,2026-08-17 20:21:25.239987+00,2026-08-17 20:21:25.239987+00,BESTSELLER
0f9f2a75-2f3b-4422-a8c6-fbeaf2736087,a3333333-3333-4333-8333-333333333333,Women Care Glow Body Mist & Care #6,women-care-glow-body-mist-&-care-6-375,منتج فائق الجودة والأداء ومصمم خصيصاً لتلبية احتياجاتك مع ضمان واستبدال مباشر.,{},2460.00,510.00,56,true,false,,"[""https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?auto=format&fit=crop&w=600&q=80""]",[],4.60,0,2026-08-17 20:24:56.466376+00,2026-08-17 20:24:56.466376+00,HOT
